Yearly Average Temperature by City and Year

City: Beijing
  2015: 12.90 °C
  2016: 12.64 °C
  2017: 13.09 °C
  2018: 12.71 °C
  2019: 13.32 °C
  2020: 12.98 °C
  2021: 12.56 °C
  2022: 12.51 °C

City: Berlin
  2010: -4.76 °C
  2015: 10.83 °C
  2016: 10.46 °C
  2017: 10.03 °C
  2018: 11.24 °C
  2019: 11.51 °C
  2020: 11.33 °C
  2021: 9.85 °C
  2022: 11.05 °C

City: Delhi
  2015: 24.28 °C
  2016: 25.05 °C
  2017: 24.60 °C
  2018: 24.33 °C
  2019: 24.10 °C
  2020: 23.69 °C
  2021: 24.19 °C
  2022: 24.62 °C

City: London
  2015: 10.93 °C
  2016: 10.83 °C
  2017: 11.14 °C
  2018: 11.42 °C
  2019: 11.05 °C
  2020: 11.61 °C
  2021: 10.73 °C
  2022: 11.91 °C

City: Los Angeles
  2015: 19.28 °C
  2016: 18.82 °C
  2017: 18.52 °C
  2018: 18.12 °C
  2019: 17.04 °C
  2020: 18.30 °C
  2021: 17.56 °C
  2022: 18.01 °C

City: Moscow
  2015: 6.64 °C
  2016: 5.87 °C
  2017: 5.58 °C
  2018: 5.82 °C
  2019: 7.18 °C
  2020: 7.56 °C
  2021: 5.68 °C
  2022: 6.09 °C

City: New York
  2015: 11.78 °C
  2016: 12.57 °C
  2017: 12.32 °C
  2018: 12.06 °C
  2019: 12.02 °C
  2020: 12.82 °C
  2021: 12.70 °C
  2022: 12.42 °C

City: Paris
  2015: 12.15 °C
  2016: 11.61 °C
  2017: 12.09 °C
  2018: 12.62 °C
  2019: 12.30 °C
  2020: 13.09 °C
  2021: 11.49 °C
  2022: 12.93 °C

City: Sydney
  2015: 17.61 °C
  2016: 18.17 °C
  2017: 17.58 °C
  2018: 17.33 °C
  2019: 17.61 °C
  2020: 17.09 °C
  2021: 16.54 °C
  2022: 16.72 °C

City: São Paulo
  2015: 20.46 °C
  2016: 19.65 °C
  2017: 19.59 °C
  2018: 19.51 °C
  2019: 20.02 °C
  2020: 19.57 °C
  2021: 19.17 °C
  2022: 18.99 °C

City: Tokyo
  2015: 15.17 °C
  2016: 15.32 °C
  2017: 14.70 °C
  2018: 15.49 °C
  2019: 15.25 °C
  2020: 15.39 °C
  2021: 15.40 °C
  2022: 15.29 °C


