Title,Box Office,Year
A Star Is Born,215333122,2018
Aladdin,217350219,1992
Ant-Man,180202163,2015
Avengers: Endgame,858373000,2019
Avengers: Infinity War,678815482,2018
Beauty and the Beast,218967620,1991
Big Hero 6,222527828,2014
Black Panther,700426566,2018
Bohemian Rhapsody,216668042,2018
Brave,237283207,2012
Captain America: Civil War,408084349,2016
Captain Marvel,426829839,2019
Cars,244082982,2006
Cinderella,201151353,2015
Coco,210460015,2017
Deadpool,363070709,2016
Despicable Me,251683815,2010
Divergent,150947895,2014
Django Unchained,162805434,2012
Doctor Strange,232641920,2016
Eclipse,,2021–
Elvis,151040048,2022
Encanto,96093622,2021
Fantastic Beasts and Where to Find Them,234037575,2016
Fight Club,37030102,1999
Finding Nemo,380843261,2003
Forrest Gump,330455270,1994
Frozen,400953009,2013
Frozen Fever,,2015
Frozen II,477373578,2019
Gladiator,187705427,2000
Guardians of the Galaxy,333718600,2014
Hamilton,,2020
Harry Potter and the Deathly Hallows: Part 2,381447587,2011
Harry Potter and the Prisoner of Azkaban,250105651,2004
Harry Potter and the Sorcerer's Stone,318886962,2001
Hercules,99112101,1997
How to Train Your Dragon,217581231,2010
Inception,292587330,2010
Inside Out,356461711,2015
Interstellar,203227580,2014
Iron Man,319034126,2008
Joker,335477657,2019
Kung Fu Panda,216064546,2008
La La Land,151101803,2016
Les Misérables,149260140,2012
Logan,226277068,2017
Luca,1324302,2021
Maleficent,241410378,2014
Moana,248757044,2016
"Monsters, Inc.",290642256,2001
Mulan,120620254,1998
National Treasure,173008894,2004
Pirates of the Caribbean: Dead Man's Chest,423315812,2006
Pirates of the Caribbean: The Curse of the Black Pearl,305413918,2003
Pocahontas,141579773,1995
Pulp Fiction,107928762,1994
Ratatouille,206445654,2007
Rocketman,96368160,2019
Saving Private Ryan,217049603,1998
Schindler's List,96898818,1993
Se7en,101040643,1995
Shrek,268698241,2001
Shrek 2,444978202,2004
Soul,946154,2020
Spider-Man: No Way Home,814866759,2021
Star Wars: Episode V - The Empire Strikes Back,292753960,1980
Tangled,200821936,2010
Tarzan,171091819,1999
The Batman,369345583,2022
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,2005
The Dark Knight,534987076,2008
The Departed,132399394,2006
The Fault in Our Stars,124872350,2014
The Godfather,136381073,1972
The Greatest Showman,174340174,2017
The Green Mile,136801374,1999
The Hunchback of Notre Dame,100138851,1996
The Hunger Games,408010692,2012
The Incredibles,261441092,2004
The Lion King,424979720,1994
The Little Mermaid,111543479,1989
The Lord of the Rings: The Fellowship of the Ring,319372078,2001
The Lord of the Rings: The Return of the King,381878219,2003
The Matrix,172076928,1999
The Maze Runner,102427862,2014
The Notebook,81417274,2004
The Prestige,53089891,2006
The Shawshank Redemption,28767189,1994
The Silence of the Lambs,130742922,1991
The Twilight Saga: Breaking Dawn - Part 2,292324737,2012
The Ultimate 'WALL-E' Recap Cartoon,,2022
The Wolf of Wall Street,116900694,2013
Thor: Ragnarok,315058289,2017
Toy Story,223225679,1995
Toy Story 3,415004880,2010
Turning Red,1399001,2022
Twilight,193962473,2008
Up,293004164,2009
West Side Story,44055492,1961
Whiplash,14003391,2014
Wreck-It Ralph,189422889,2012
Zootopia,341268248,2016
